score,open_hours_week,binned_score,coded_size,coded_review_counts,coded_price,num_photos,is_bus_web,is_phone_number,is_message_bus,num_attributes,num_questions,polarity,subjectivity,binned_score_y
4.5,77.0,high,2,942.0,1,794.0,1,1,0,25.0,4.0,0.3158206185955395,0.5841892706449668,2
4.0,65.9294813466788,high,2,1378.0,1,3928.0,1,1,1,40.0,16.0,0.17309060208246865,0.5556293199443882,2
4.0,65.9294813466788,high,2,1378.0,1,3928.0,1,1,1,40.0,16.0,0.17309060208246865,0.5556293199443882,2
4.0,79.0,high,2,2288.0,1,2394.0,1,1,1,32.0,7.0,0.289735058670426,0.589217522673405,2
4.5,45.0,high,0,40.0,0,70.0,0,1,0,19.0,0.0,0.15537539682539686,0.5375730158730158,2
4.0,75.0,high,0,1346.0,1,1518.0,0,1,0,22.0,11.0,0.23342457941260347,0.5436284573709722,2
4.0,45.0,high,1,491.0,1,568.0,1,1,0,22.0,3.0,0.18068703865578864,0.5431487743026204,2
4.5,74.0,high,1,66.0,1,82.0,1,1,0,20.0,0.0,0.2797810884139008,0.6008908816051675,2
4.5,97.0,high,0,49.0,0,69.0,0,1,0,8.0,0.0,0.15628181787609755,0.5841999619965721,2
4.5,97.0,high,0,49.0,0,69.0,0,1,0,8.0,0.0,0.15628181787609755,0.5841999619965721,2
4.0,66.5,high,0,181.0,1,157.0,1,1,0,21.0,0.0,0.07947517760017765,0.612129051504052,2
3.0,65.9294813466788,high,0,2.0,1,0.0,0,1,0,21.333842627960276,0.0,0.6083333333333333,0.6033333333333333,2
3.5,54.0,high,1,192.0,0,107.0,0,1,0,30.0,0.0,0.01391691308691309,0.5099248174048177,2
4.0,71.75,high,1,1194.0,1,692.0,1,1,1,21.0,3.0,0.1080749673606817,0.5439569160997734,2
4.0,71.75,high,1,1085.0,1,597.0,1,1,1,24.0,0.0,0.1614756185023175,0.5492004812878604,2
4.0,0.0,high,0,3023.0,1,6235.0,1,1,0,14.0,21.0,0.2770419913419915,0.5793525252525252,2
4.0,68.0,high,1,371.0,1,238.0,1,1,0,27.0,0.0,0.2638674595332204,0.5844573687182385,2
3.5,70.0,high,1,246.0,1,119.0,1,1,1,17.0,0.0,0.2369265873015873,0.5986023809523812,2
4.0,42.75,high,2,269.0,1,239.0,1,1,0,20.0,0.0,0.11985430839002266,0.5041632653061223,2
4.0,77.0,high,0,394.0,1,550.0,1,1,0,25.0,4.0,0.2863770853902434,0.5821640932167247,2
2.5,68.0,high,0,139.0,0,61.0,1,1,0,18.0,0.0,0.26370729082593497,0.49191552327145566,2
3.0,70.0,medium,2,338.0,1,218.0,1,1,0,18.0,0.0,0.05702827183940655,0.4853157441264238,1
5.0,87.5,high,0,69.0,0,126.0,0,1,0,18.0,0.0,0.2893010204081632,0.5738446493982209,2
5.0,87.5,high,0,69.0,0,126.0,0,1,0,18.0,0.0,0.2893010204081632,0.5738446493982209,2
3.5,0.0,medium,2,4253.0,1,4285.0,1,1,0,23.0,21.0,0.23457414394914392,0.564181827931828,1
4.5,47.0,high,0,43.0,0,30.0,0,1,0,10.0,0.0,0.33286451973951975,0.5581542531542532,2
4.5,65.9294813466788,medium,1,44.0,1,64.0,1,1,0,25.0,5.0,0.28272103964411655,0.5362868755176449,1
4.0,30.5,high,1,234.0,2,106.0,1,1,0,26.0,0.0,0.29151794733044734,0.5812813852813854,2
4.5,55.5,high,1,879.0,2,766.0,1,1,0,22.0,13.0,0.2548227141886563,0.555509608480623,2
4.0,70.0,high,0,445.0,1,1032.0,1,1,0,23.0,5.0,0.17315065681444994,0.5894911266894026,2
4.0,65.5,high,1,46.0,1,70.0,0,1,0,11.0,0.0,0.35860389610389615,0.6160740053597196,2
4.0,65.5,high,1,46.0,1,70.0,0,1,0,11.0,0.0,0.35860389610389615,0.6160740053597196,2
4.0,67.0,high,0,195.0,0,201.0,1,1,1,26.0,0.0,0.1791504857447241,0.5923658459595957,2
4.0,79.0,high,1,779.0,1,878.0,1,1,0,28.0,16.0,0.23416108820954332,0.5210676215170597,2
3.0,101.0,high,2,68.0,1,65.0,0,1,0,20.0,0.0,-0.027711925287356297,0.5433497536945812,2
4.0,60.0,high,0,68.0,0,95.0,1,1,0,24.0,0.0,0.1549644221519222,0.5636736874236873,2
4.0,60.0,medium,0,68.0,0,95.0,1,1,0,24.0,0.0,0.1549644221519222,0.5636736874236873,1
